Subject,Stimuli,FixStart,FixEnd,FixDur,XPos,YPos,ROI,Block,Trial,ImageType,Species,SubjectName,roi_type,roi_index,saliency,area
Cheyenne_20240702_1420,SStil17.png,210.359,343.689,136.552,979,262,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,88.91990661621094,1751219
Cheyenne_20240702_1420,SStil17.png,360.221,483.667,126.672,868,627,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,98.44799041748047,1751219
Cheyenne_20240702_1420,SStil17.png,493.562,676.975,186.641,985,373,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,124.51814270019531,1751219
Cheyenne_20240702_1420,SStil17.png,1320.11,1493.432,176.758,360,785,Fire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,113.77265930175781,1751219
Cheyenne_20240702_1420,SStil17.png,1506.763,1680.071,176.745,488,865,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,106.95722961425781,1751219
Cheyenne_20240702_1420,SStil17.png,1693.403,1960.035,270.076,570,806,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,93.19241333007812,1751219
Cheyenne_20240702_1420,SStil17.png,1976.824,2156.784,183.174,386,364,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,47.46373748779297,1751219
Cheyenne_20240702_1420,SStil17.png,2183.438,2330.089,149.89,630,801,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,82.20421600341797,1751219
Cheyenne_20240702_1420,SStil17.png,2346.659,2590.078,246.64,949,376,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,87.83258819580078,1751219
Cheyenne_20240702_1420,SStil17.png,2626.688,2856.724,233.226,7,446,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,12.027278900146484,1751219
Cheyenne_20240702_1420,FStil07.png,95.666,305.537,213.3,921,562,Fire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,1,4,115.50918579101562,159797
